DATE,value,element,STATION_ID
2022-09-12,0.0,SNOW,US1TXDA0065
2022-09-13,0.0,SNOW,US1TXDA0065
2022-09-14,0.0,SNOW,US1TXDA0065
2022-09-15,0.0,SNOW,US1TXDA0065
2022-09-16,0.0,SNOW,US1TXDA0065
2022-09-17,0.0,SNOW,US1TXDA0065
2022-09-18,0.0,SNOW,US1TXDA0065
2022-09-19,0.0,SNOW,US1TXDA0065
2022-09-20,0.0,SNOW,US1TXDA0065
2022-09-21,0.0,SNOW,US1TXDA0065
2022-09-22,0.0,SNOW,US1TXDA0065
2022-09-23,0.0,SNOW,US1TXDA0065
2022-09-24,0.0,SNOW,US1TXDA0065
2022-09-25,0.0,SNOW,US1TXDA0065
2022-09-27,0.0,SNOW,US1TXDA0065
2022-09-28,0.0,SNOW,US1TXDA0065
2022-09-29,0.0,SNOW,US1TXDA0065
2022-09-30,0.0,SNOW,US1TXDA0065
2022-10-01,0.0,PRCP,US1TXDA0065
2022-10-02,0.0,PRCP,US1TXDA0065
2022-10-03,0.0,PRCP,US1TXDA0065
2022-10-04,0.0,PRCP,US1TXDA0065
2022-10-05,0.0,PRCP,US1TXDA0065
2022-10-06,0.0,PRCP,US1TXDA0065
2022-10-07,0.0,PRCP,US1TXDA0065
2022-10-08,0.0,PRCP,US1TXDA0065
2022-10-09,0.0,PRCP,US1TXDA0065
2022-10-10,0.0,PRCP,US1TXDA0065
2022-10-11,0.0,PRCP,US1TXDA0065
2022-10-12,0.0,PRCP,US1TXDA0065
2022-10-13,0.0,PRCP,US1TXDA0065
2022-10-14,0.0,PRCP,US1TXDA0065
2022-10-15,0.0,PRCP,US1TXDA0065
2022-10-16,0.5,PRCP,US1TXDA0065
2022-10-17,3.0,PRCP,US1TXDA0065
2022-10-18,0.0,PRCP,US1TXDA0065
2022-10-19,0.0,PRCP,US1TXDA0065
2022-10-20,0.0,PRCP,US1TXDA0065
2022-10-21,0.0,PRCP,US1TXDA0065
2022-10-22,0.0,PRCP,US1TXDA0065
2022-10-23,0.0,PRCP,US1TXDA0065
2022-10-24,0.5,PRCP,US1TXDA0065
2022-10-25,52.6,PRCP,US1TXDA0065
2022-10-26,0.0,PRCP,US1TXDA0065
2022-10-27,0.0,PRCP,US1TXDA0065
2022-10-28,0.0,PRCP,US1TXDA0065
2022-10-29,59.4,PRCP,US1TXDA0065
2022-10-30,0.5,PRCP,US1TXDA0065
2022-10-31,0.0,PRCP,US1TXDA0065
2022-10-01,0.0,SNOW,US1TXDA0065
2022-10-02,0.0,SNOW,US1TXDA0065
2022-10-03,0.0,SNOW,US1TXDA0065
2022-10-04,0.0,SNOW,US1TXDA0065
2022-10-05,0.0,SNOW,US1TXDA0065
2022-10-06,0.0,SNOW,US1TXDA0065
2022-10-07,0.0,SNOW,US1TXDA0065
2022-10-08,0.0,SNOW,US1TXDA0065
2022-10-09,0.0,SNOW,US1TXDA0065
2022-10-10,0.0,SNOW,US1TXDA0065
2022-10-11,0.0,SNOW,US1TXDA0065
2022-10-13,0.0,SNOW,US1TXDA0065
2022-10-14,0.0,SNOW,US1TXDA0065
2022-10-15,0.0,SNOW,US1TXDA0065
2022-10-18,0.0,SNOW,US1TXDA0065
2022-10-19,0.0,SNOW,US1TXDA0065
2022-10-20,0.0,SNOW,US1TXDA0065
2022-10-21,0.0,SNOW,US1TXDA0065
2022-10-22,0.0,SNOW,US1TXDA0065
2022-10-23,0.0,SNOW,US1TXDA0065
2022-10-26,0.0,SNOW,US1TXDA0065
2022-10-27,0.0,SNOW,US1TXDA0065
2022-10-28,0.0,SNOW,US1TXDA0065
2022-10-31,0.0,SNOW,US1TXDA0065
2022-11-01,0.0,PRCP,US1TXDA0065
2022-11-02,0.0,PRCP,US1TXDA0065
2022-11-03,0.0,PRCP,US1TXDA0065
2022-11-04,0.0,PRCP,US1TXDA0065
2022-11-05,36.3,PRCP,US1TXDA0065
2022-11-06,0.0,PRCP,US1TXDA0065
2022-11-07,0.3,PRCP,US1TXDA0065
2022-11-08,2.8,PRCP,US1TXDA0065
2022-11-09,0.0,PRCP,US1TXDA0065
2022-11-10,0.0,PRCP,US1TXDA0065
2022-11-11,3.6,PRCP,US1TXDA0065
2022-11-12,10.4,PRCP,US1TXDA0065
2022-11-13,0.0,PRCP,US1TXDA0065
2022-11-14,0.0,PRCP,US1TXDA0065
2022-11-15,15.0,PRCP,US1TXDA0065
2022-11-16,0.0,PRCP,US1TXDA0065
2022-11-17,0.0,PRCP,US1TXDA0065
2022-11-18,0.0,PRCP,US1TXDA0065
2022-11-19,0.0,PRCP,US1TXDA0065
2022-11-20,0.0,PRCP,US1TXDA0065
2022-11-21,0.3,PRCP,US1TXDA0065
2022-11-22,0.0,PRCP,US1TXDA0065
2022-11-23,0.3,PRCP,US1TXDA0065
2022-11-24,41.4,PRCP,US1TXDA0065
2022-11-25,22.6,PRCP,US1TXDA0065
2022-11-26,23.9,PRCP,US1TXDA0065
2022-11-27,10.9,PRCP,US1TXDA0065
2022-11-28,0.0,PRCP,US1TXDA0065
2022-11-29,0.0,PRCP,US1TXDA0065
2022-11-30,0.0,PRCP,US1TXDA0065
2022-11-01,0.0,SNOW,US1TXDA0065
2022-11-02,0.0,SNOW,US1TXDA0065
2022-11-03,0.0,SNOW,US1TXDA0065
2022-11-04,0.0,SNOW,US1TXDA0065
2022-11-06,0.0,SNOW,US1TXDA0065
2022-11-09,0.0,SNOW,US1TXDA0065
2022-11-10,0.0,SNOW,US1TXDA0065
2022-11-13,0.0,SNOW,US1TXDA0065
2022-11-14,0.0,SNOW,US1TXDA0065
2022-11-16,0.0,SNOW,US1TXDA0065
2022-11-17,0.0,SNOW,US1TXDA0065
2022-11-18,0.0,SNOW,US1TXDA0065
2022-11-19,0.0,SNOW,US1TXDA0065
2022-11-20,0.0,SNOW,US1TXDA0065
2022-11-28,0.0,SNOW,US1TXDA0065
2022-11-29,0.0,SNOW,US1TXDA0065
2022-11-30,0.0,SNOW,US1TXDA0065
2022-12-01,0.0,PRCP,US1TXDA0065
2022-12-02,0.0,PRCP,US1TXDA0065
2022-12-03,0.5,PRCP,US1TXDA0065
2022-12-04,0.0,PRCP,US1TXDA0065
2022-12-05,0.0,PRCP,US1TXDA0065
2022-12-06,0.0,PRCP,US1TXDA0065
2022-12-07,2.5,PRCP,US1TXDA0065
2022-12-08,0.5,PRCP,US1TXDA0065
2022-12-09,5.6,PRCP,US1TXDA0065
2022-12-10,0.3,PRCP,US1TXDA0065
2022-12-11,25.4,PRCP,US1TXDA0065
2022-12-12,0.5,PRCP,US1TXDA0065
2022-12-13,1.5,PRCP,US1TXDA0065
2022-12-14,11.2,PRCP,US1TXDA0065
2022-12-15,0.0,PRCP,US1TXDA0065
2022-12-16,0.0,PRCP,US1TXDA0065
2022-12-17,0.0,PRCP,US1TXDA0065
2022-12-18,0.0,PRCP,US1TXDA0065
2022-12-19,0.0,PRCP,US1TXDA0065
2022-12-20,0.8,PRCP,US1TXDA0065
2022-12-21,0.0,PRCP,US1TXDA0065
2022-12-22,0.0,PRCP,US1TXDA0065
2022-12-23,0.0,PRCP,US1TXDA0065
2022-12-24,0.0,PRCP,US1TXDA0065
2022-12-25,0.0,PRCP,US1TXDA0065
2022-12-26,0.0,PRCP,US1TXDA0065
2022-12-27,0.0,PRCP,US1TXDA0065
2022-12-28,0.0,PRCP,US1TXDA0065
2022-12-29,0.0,PRCP,US1TXDA0065
2022-12-30,0.0,PRCP,US1TXDA0065
2022-12-31,0.0,PRCP,US1TXDA0065
2022-12-01,0.0,SNOW,US1TXDA0065
2022-12-02,0.0,SNOW,US1TXDA0065
2022-12-04,0.0,SNOW,US1TXDA0065
2022-12-06,0.0,SNOW,US1TXDA0065
2022-12-15,0.0,SNOW,US1TXDA0065
2022-12-16,0.0,SNOW,US1TXDA0065
2022-12-17,0.0,SNOW,US1TXDA0065
2022-12-18,0.0,SNOW,US1TXDA0065
2022-12-19,0.0,SNOW,US1TXDA0065
2022-12-21,0.0,SNOW,US1TXDA0065
2022-12-22,0.0,SNOW,US1TXDA0065
2022-12-24,0.0,SNOW,US1TXDA0065
2022-12-25,0.0,SNOW,US1TXDA0065
2022-12-26,0.0,SNOW,US1TXDA0065
2022-12-27,0.0,SNOW,US1TXDA0065
2022-12-28,0.0,SNOW,US1TXDA0065
2022-12-29,0.0,SNOW,US1TXDA0065
2022-12-30,0.0,SNOW,US1TXDA0065
2022-12-31,0.0,SNOW,US1TXDA0065
2023-01-01,0.0,PRCP,US1TXDA0065
2023-01-02,0.0,PRCP,US1TXDA0065
2023-01-03,2.5,PRCP,US1TXDA0065
2023-01-04,0.0,PRCP,US1TXDA0065
2023-01-05,0.0,PRCP,US1TXDA0065
2023-01-06,0.0,PRCP,US1TXDA0065
2023-01-07,0.0,PRCP,US1TXDA0065
2023-01-08,0.0,PRCP,US1TXDA0065
2023-01-09,0.0,PRCP,US1TXDA0065
2023-01-10,0.0,PRCP,US1TXDA0065
2023-01-11,0.0,PRCP,US1TXDA0065
2023-01-12,0.0,PRCP,US1TXDA0065
2023-01-13,0.0,PRCP,US1TXDA0065
2023-01-14,0.0,PRCP,US1TXDA0065
2023-01-15,0.0,PRCP,US1TXDA0065
2023-01-16,0.0,PRCP,US1TXDA0065
2023-01-17,0.0,PRCP,US1TXDA0065
2023-01-18,0.0,PRCP,US1TXDA0065
2023-01-19,0.3,PRCP,US1TXDA0065
2023-01-20,0.0,PRCP,US1TXDA0065
2023-01-21,0.0,PRCP,US1TXDA0065
2023-01-22,0.0,PRCP,US1TXDA0065
2023-01-23,0.0,PRCP,US1TXDA0065
2023-01-24,0.0,PRCP,US1TXDA0065
2023-01-25,29.5,PRCP,US1TXDA0065
2023-01-26,0.0,PRCP,US1TXDA0065
2023-01-27,0.0,PRCP,US1TXDA0065
2023-01-28,0.0,PRCP,US1TXDA0065
2023-01-29,0.5,PRCP,US1TXDA0065
2023-01-30,0.0,PRCP,US1TXDA0065
2023-01-31,1.3,PRCP,US1TXDA0065
2023-01-01,0.0,SNOW,US1TXDA0065
2023-01-02,0.0,SNOW,US1TXDA0065
2023-01-04,0.0,SNOW,US1TXDA0065
2023-01-05,0.0,SNOW,US1TXDA0065
2023-01-06,0.0,SNOW,US1TXDA0065
2023-01-07,0.0,SNOW,US1TXDA0065
2023-01-08,0.0,SNOW,US1TXDA0065
2023-01-09,0.0,SNOW,US1TXDA0065
2023-01-10,0.0,SNOW,US1TXDA0065
2023-01-11,0.0,SNOW,US1TXDA0065
2023-01-12,0.0,SNOW,US1TXDA0065
2023-01-13,0.0,SNOW,US1TXDA0065
2023-01-14,0.0,SNOW,US1TXDA0065
2023-01-15,0.0,SNOW,US1TXDA0065
2023-01-16,0.0,SNOW,US1TXDA0065
2023-01-17,0.0,SNOW,US1TXDA0065
2023-01-20,0.0,SNOW,US1TXDA0065
2023-01-21,0.0,SNOW,US1TXDA0065
2023-01-23,0.0,SNOW,US1TXDA0065
2023-01-26,0.0,SNOW,US1TXDA0065
2023-01-27,0.0,SNOW,US1TXDA0065
2023-01-28,0.0,SNOW,US1TXDA0065
2023-02-01,12.7,PRCP,US1TXDA0065
2023-02-02,10.4,PRCP,US1TXDA0065
2023-02-03,6.6,PRCP,US1TXDA0065
2023-02-04,0.0,PRCP,US1TXDA0065
2023-02-05,0.0,PRCP,US1TXDA0065
2023-02-06,0.0,PRCP,US1TXDA0065
2023-02-07,0.0,PRCP,US1TXDA0065
2023-02-08,37.3,PRCP,US1TXDA0065
2023-02-09,5.6,PRCP,US1TXDA0065
2023-02-10,0.0,PRCP,US1TXDA0065
2023-02-11,0.0,PRCP,US1TXDA0065
2023-02-12,0.0,PRCP,US1TXDA0065
2023-02-13,0.0,PRCP,US1TXDA0065
2023-02-14,11.7,PRCP,US1TXDA0065
2023-02-15,2.8,PRCP,US1TXDA0065
2023-02-16,0.0,PRCP,US1TXDA0065
2023-02-17,0.0,PRCP,US1TXDA0065
2023-02-18,0.0,PRCP,US1TXDA0065
2023-02-19,0.0,PRCP,US1TXDA0065
2023-02-20,0.0,PRCP,US1TXDA0065
2023-02-21,0.0,PRCP,US1TXDA0065
2023-02-22,7.9,PRCP,US1TXDA0065
2023-02-23,2.0,PRCP,US1TXDA0065
2023-02-24,0.0,PRCP,US1TXDA0065
2023-02-25,1.0,PRCP,US1TXDA0065
2023-02-26,0.5,PRCP,US1TXDA0065
2023-02-27,1.5,PRCP,US1TXDA0065
2023-02-28,0.0,PRCP,US1TXDA0065
2023-02-04,0.0,SNOW,US1TXDA0065
2023-02-05,0.0,SNOW,US1TXDA0065
2023-02-10,0.0,SNOW,US1TXDA0065
2023-02-11,0.0,SNOW,US1TXDA0065
2023-02-12,0.0,SNOW,US1TXDA0065
2023-02-13,0.0,SNOW,US1TXDA0065
2023-02-16,0.0,SNOW,US1TXDA0065
2023-02-17,0.0,SNOW,US1TXDA0065
2023-02-18,0.0,SNOW,US1TXDA0065
2023-02-19,0.0,SNOW,US1TXDA0065
2023-02-20,0.0,SNOW,US1TXDA0065
2023-02-21,0.0,SNOW,US1TXDA0065
2023-02-24,0.0,SNOW,US1TXDA0065
2023-02-28,0.0,SNOW,US1TXDA0065
2023-03-01,0.0,PRCP,US1TXDA0065
2023-03-02,1.8,PRCP,US1TXDA0065
2023-03-03,22.4,PRCP,US1TXDA0065
2023-03-04,0.0,PRCP,US1TXDA0065
2023-03-05,0.0,PRCP,US1TXDA0065
2023-03-06,0.0,PRCP,US1TXDA0065
2023-03-07,0.0,PRCP,US1TXDA0065
2023-03-08,5.1,PRCP,US1TXDA0065
2023-03-09,0.0,PRCP,US1TXDA0065
2023-03-10,9.9,PRCP,US1TXDA0065
2023-03-11,0.0,PRCP,US1TXDA0065
2023-03-12,0.0,PRCP,US1TXDA0065
2023-03-13,0.0,PRCP,US1TXDA0065
2023-03-14,0.0,PRCP,US1TXDA0065
2023-03-15,0.0,PRCP,US1TXDA0065
2023-03-16,0.0,PRCP,US1TXDA0065
2023-03-17,13.5,PRCP,US1TXDA0065
2023-03-18,0.0,PRCP,US1TXDA0065
2023-03-19,0.0,PRCP,US1TXDA0065
2023-03-20,0.0,PRCP,US1TXDA0065
2023-03-21,0.0,PRCP,US1TXDA0065
2023-03-22,3.3,PRCP,US1TXDA0065
2023-03-23,0.0,PRCP,US1TXDA0065
2023-03-24,0.0,PRCP,US1TXDA0065
2023-03-25,0.0,PRCP,US1TXDA0065
2023-03-27,0.0,PRCP,US1TXDA0065
2023-03-28,0.0,PRCP,US1TXDA0065
2023-03-29,0.0,PRCP,US1TXDA0065
2023-03-30,0.0,PRCP,US1TXDA0065
2023-03-31,0.0,PRCP,US1TXDA0065
2023-03-01,0.0,SNOW,US1TXDA0065
2023-03-04,0.0,SNOW,US1TXDA0065
2023-03-05,0.0,SNOW,US1TXDA0065
2023-03-06,0.0,SNOW,US1TXDA0065
2023-03-07,0.0,SNOW,US1TXDA0065
2023-03-11,0.0,SNOW,US1TXDA0065
2023-03-12,0.0,SNOW,US1TXDA0065
2023-03-13,0.0,SNOW,US1TXDA0065
2023-03-14,0.0,SNOW,US1TXDA0065
2023-03-15,0.0,SNOW,US1TXDA0065
2023-03-16,0.0,SNOW,US1TXDA0065
2023-03-18,0.0,SNOW,US1TXDA0065
2023-03-19,0.0,SNOW,US1TXDA0065
2023-03-20,0.0,SNOW,US1TXDA0065
2023-03-21,0.0,SNOW,US1TXDA0065
2023-03-23,0.0,SNOW,US1TXDA0065
2023-03-24,0.0,SNOW,US1TXDA0065
2023-03-25,0.0,SNOW,US1TXDA0065
2023-03-27,0.0,SNOW,US1TXDA0065
2023-03-28,0.0,SNOW,US1TXDA0065
2023-03-29,0.0,SNOW,US1TXDA0065
2023-03-30,0.0,SNOW,US1TXDA0065
2023-04-01,0.0,PRCP,US1TXDA0065
2023-04-02,0.0,PRCP,US1TXDA0065
2023-04-03,1.0,PRCP,US1TXDA0065
2023-04-04,0.0,PRCP,US1TXDA0065
2023-04-05,1.8,PRCP,US1TXDA0065
2023-04-06,0.0,PRCP,US1TXDA0065
2023-04-07,0.0,PRCP,US1TXDA0065
2023-04-01,0.0,SNOW,US1TXDA0065
2023-04-02,0.0,SNOW,US1TXDA0065
2023-04-04,0.0,SNOW,US1TXDA0065
2023-04-06,0.0,SNOW,US1TXDA0065
2023-04-07,0.0,SNOW,US1TXDA0065
